"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"LOC732275","Unmatched","","","",""
"TXNRD3IT1","Previous symbol","TXNRD3","thioredoxin reductase 3","HGNC:20667","3q21.3"
"GALNTL1","Previous symbol","GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","HGNC:23233","14q24.1"
"FAM60A","Previous symbol","SINHCAF","SIN3-HDAC complex associated factor","HGNC:30702","12p11.21"
"C8orf38","Previous symbol","NDUFAF6","NADH:ubiquinone oxidoreductase complex assembly factor 6","HGNC:28625","8q22.1"
"C14orf80","Previous symbol","TEDC1","tubulin epsilon and delta complex 1","HGNC:20127","14q32.33"
"LOC392196","Unmatched","","","",""
"CCDC48","Previous symbol","EFCC1","EF-hand and coiled-coil domain containing 1","HGNC:25692","3q21.3"
"C5orf48","Previous symbol","TEX43","testis expressed 43","HGNC:33767","5q23.2"
"C13orf36","Previous symbol","SERTM1","serine rich and transmembrane domain containing 1","HGNC:33792","13q13.3"
"C17orf76","Previous symbol","LRRC75A","leucine rich repeat containing 75A","HGNC:32403","17p11.2"
"GPR110","Previous symbol","ADGRF1","adhesion G protein-coupled receptor F1","HGNC:18990","6p12.3"
"C6orf168","Previous symbol","FAXC","failed axon connections homolog, metaxin like GST domain containing","HGNC:20742","6q16.2"
"FAM49A","Previous symbol","CYRIA","CYFIP related Rac1 interactor A","HGNC:25373","2p24.2"
"WDR60","Previous symbol","DYNC2I1","dynein 2 intermediate chain 1","HGNC:21862","7q36.3"
"C19orf22","Previous symbol","R3HDM4","R3H domain containing 4","HGNC:28270","19p13.3"
"FAM165B","Previous symbol","SMIM11","small integral membrane protein 11","HGNC:1293","21q22.11-q22.12"
"CYTSB","Previous symbol","SPECC1","sperm antigen with calponin homology and coiled-coil domains 1","HGNC:30615","17p11.2"
"C20orf26","Previous symbol","CFAP61","cilia and flagella associated protein 61","HGNC:15872","20p11.23"
"PLAC1L","Previous symbol","OOSP2","oocyte secreted protein 2","HGNC:26699","11q12.1"
"C3orf50","Previous symbol","EGFEM1P","EGF like and EMI domain containing 1, pseudogene","HGNC:25149","3q26.2"
"LOC285205","Unmatched","","","",""
"FAM59B","Previous symbol","GAREM2","GRB2 associated regulator of MAPK1 subtype 2","HGNC:27172","2p23.3"
"PPIL5","Previous symbol","LRR1","leucine rich repeat protein 1","HGNC:19742","14q21.3"
"C2orf64","Previous symbol","COA5","cytochrome c oxidase assembly factor 5","HGNC:33848","2q11.2"
"C9orf140","Previous symbol","SAPCD2","suppressor APC domain containing 2","HGNC:28055","9q34.3"
"C1orf107","Previous symbol","UTP25","UTP25 small subunit processome component","HGNC:28440","1q32.2"
"SKINTL","Previous symbol","SKINT1L","Skint1 like (pseudogene)","HGNC:33993","1p33"
"SAPS3","Previous symbol","PPP6R3","protein phosphatase 6 regulatory subunit 3","HGNC:1173","11q13"
"FAM5B","Previous symbol","BRINP2","BMP/retinoic acid inducible neural specific 2","HGNC:13746","1q25.2"
"G6PC","Previous symbol","G6PC1","glucose-6-phosphatase catalytic subunit 1","HGNC:4056","17q21.31"
"SUGT1L1","Previous symbol","SUGT1P3","SUGT1 pseudogene 3","HGNC:20513","13q14.11"
"KIAA1530","Previous symbol","UVSSA","UV stimulated scaffold protein A","HGNC:29304","4p16.3"
"TTC15","Previous symbol","TRAPPC12","trafficking protein particle complex subunit 12","HGNC:24284","2p25.3"
"C7orf55","Previous symbol","FMC1","formation of mitochondrial complex V assembly factor 1 homolog","HGNC:26946","7q34"
"MYEOV2","Previous symbol","COPS9","COP9 signalosome subunit 9","HGNC:21314","2q37.3"
"LOC100131551","Unmatched","","","",""
"PHF17","Previous symbol","JADE1","jade family PHD finger 1","HGNC:30027","4q28.2"
"KIAA1486","Previous symbol","NYAP2","neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2","HGNC:29291","2q36.3"
"BAI2","Previous symbol","ADGRB2","adhesion G protein-coupled receptor B2","HGNC:944","1p35.2"
"LOC286094","Unmatched","","","",""
"CCDC129","Previous symbol","ITPRID1","ITPR interacting domain containing 1","HGNC:27363","7p14.3"
"MIR514-3","Previous symbol","MIR514A3","microRNA 514a-3","HGNC:32150","Xq27.3"
"MIR514-2","Previous symbol","MIR514A2","microRNA 514a-2","HGNC:32149","Xq27.3"
"C15orf58","Previous symbol","GDPGP1","GDP-D-glucose phosphorylase 1","HGNC:34360","15q26.1"
"C1orf190","Previous symbol","LURAP1","leucine rich adaptor protein 1","HGNC:32327","1p34.1"
"SNORD75","Approved symbol","SNORD75","small nucleolar RNA, C/D box 75","HGNC:32735","1q25.1"
"SNORD76","Approved symbol","SNORD76","small nucleolar RNA, C/D box 76","HGNC:32736","1q25.1"
"SNORD77","Approved symbol","SNORD77","small nucleolar RNA, C/D box 77","HGNC:32737","1q25.1"
"SNORD44","Approved symbol","SNORD44","small nucleolar RNA, C/D box 44","HGNC:10183","1q25.1"
"MAP1D","Alias symbol","METAP1D","methionyl aminopeptidase type 1D, mitochondrial","HGNC:32583","2q31.1"
"LOC254559","Unmatched","","","",""
"DFNB31","Previous symbol","WHRN","whirlin","HGNC:16361","9q32"
"C7orf72","Previous symbol","SPATA48","spermatogenesis associated 48","HGNC:22564","7p12.2"
"C17orf48","Previous symbol","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent","HGNC:30925","17p13.1"
"PNMAL2","Previous symbol","PNMA8B","PNMA family member 8B","HGNC:29206","19q13.32"
"C1orf86","Previous symbol","FAAP20","FA core complex associated protein 20","HGNC:26428","1p36.33"
"LOC100128003","Unmatched","","","",""
"C7orf52","Previous symbol","NAT16","N-acetyltransferase 16 (putative)","HGNC:22030","7q22.1"
"ANKRD19","Previous symbol","ANKRD19P","ankyrin repeat domain 19, pseudogene","HGNC:22567","9q22.31"
"C2orf70","Previous symbol","FAM166C","family with sequence similarity 166 member C","HGNC:27938","2p23.3"
"C13orf18","Previous symbol","RUBCNL","rubicon like autophagy enhancer","HGNC:20420","13q14.13"
"SNAR-G1","Approved symbol","SNAR-G1","small NF90 (ILF3) associated RNA G1","HGNC:34327","19q13.33"
"KIAA0427","Previous symbol","CTIF","cap binding complex dependent translation initiation factor","HGNC:23925","18q21.1"
"MGC45800","Unmatched","","","",""
"MYST3","Previous symbol","KAT6A","lysine acetyltransferase 6A","HGNC:13013","8p11.21"
"FAM58A","Previous symbol","CCNQ","cyclin Q","HGNC:28434","Xq28"
"FAM46B","Previous symbol","TENT5B","terminal nucleotidyltransferase 5B","HGNC:28273","1p36.11"
"C15orf27","Previous symbol","TMEM266","transmembrane protein 266","HGNC:26763","15q24.2"
"SDR16C6","Previous symbol","SDR16C6P","short chain dehydrogenase/reductase family 16C member 6, pseudogene","HGNC:35413","8q12.1"
"C14orf102","Previous symbol","NRDE2","NRDE-2, necessary for RNA interference, domain containing","HGNC:20186","14q32.11"
"SEPT8","Previous symbol","SEPTIN8","septin 8","HGNC:16511","5q31.1"
"BTBD11","Previous symbol","ABTB3","ankyrin repeat and BTB domain containing 3","HGNC:23844","12q23.3"
"HBII-52-27","Alias symbol","SNORD115-27","small nucleolar RNA, C/D box 115-27","HGNC:33046","15q11.2"
"GOLGA8C","Previous symbol","GOLGA8CP","golgin A8 family member C, pseudogene","HGNC:32375","15q11.2"
"LOC284805","Unmatched","","","",""
"C1orf96","Previous symbol","CCSAP","centriole, cilia and spindle associated protein","HGNC:29578","1q42.13"
"LOC116437","Unmatched","","","",""
"AIM1","Previous symbol","CRYBG1","crystallin beta-gamma domain containing 1","HGNC:356","6q21"
"C14orf177","Previous symbol","LINC02914","long intergenic non-protein coding RNA 2914","HGNC:26375","14q32.2"
"TXNDC3","Previous symbol","NME8","NME/NM23 family member 8","HGNC:16473","7p14.1"
"RGAG1","Previous symbol","RTL9","retrotransposon Gag like 9","HGNC:29245","Xq23"
"LOC100129550","Unmatched","","","",""
"C16orf55","Previous symbol","SPATA33","spermatogenesis associated 33","HGNC:26463","16q24.3"
"SELI","Alias symbol","SELENOI","selenoprotein I","HGNC:29361","2p23.3"
"C20orf200","Previous symbol","CRMA","cardiomyocyte maturation associated lncRNA","HGNC:26393","20q13.33"
"PAK7","Previous symbol","PAK5","p21 (RAC1) activated kinase 5","HGNC:15916","20p12.2"
"PDDC1","Previous symbol","GATD1","glutamine amidotransferase class 1 domain containing 1","HGNC:26616","11p15.5"
"LOC100133920","Unmatched","","","",""
"C5orf37","Previous symbol","POC5","POC5 centriolar protein","HGNC:26658","5q13.3"
"FDX1L","Previous symbol","FDX2","ferredoxin 2","HGNC:30546","19p13.2"
"ABP1","Alias symbol","DBNL","drebrin like","HGNC:2696","7p13"
"ABP1","Previous symbol","AOC1","amine oxidase copper containing 1","HGNC:80","7q36.1"
"C2orf54","Previous symbol","MAB21L4","mab-21 like 4","HGNC:26216","2q37.3"
"C16orf62","Previous symbol","VPS35L","VPS35 endosomal protein sorting factor like","HGNC:24641","16p12.3"
"GTF2H2D","Previous symbol","GTF2H2C_2","GTF2H2 family member C, copy 2","HGNC:35418","5q13.2 alternate reference locus"
"C16orf11","Previous symbol","PRR35","proline rich 35","HGNC:14139","16p13.3"
"EIF2C1","Previous symbol","AGO1","argonaute RISC component 1","HGNC:3262","1p34.3"
"GPER","Previous symbol","GPER1","G protein-coupled estrogen receptor 1","HGNC:4485","7p22.3"
"LOC389634","Unmatched","","","",""
"FAM46C","Previous symbol","TENT5C","terminal nucleotidyltransferase 5C","HGNC:24712","1p12"
"C9orf75","Previous symbol","TPRN","taperin","HGNC:26894","9q34.3"
"PLK5P","Previous symbol","PLK5","polo like kinase 5 (inactive)","HGNC:27001","19p13.3"
"C21orf29","Previous symbol","TSPEAR","thrombospondin type laminin G domain and EAR repeats","HGNC:1268","21q22.3"
"RAB9P1","Previous symbol","RAB9BP1","RAB9B, member RAS oncogene family pseudogene 1","HGNC:9793","5q21.2-q21.3"
"NCRNA00032","Previous symbol","LINC00032","long intergenic non-protein coding RNA 32","HGNC:16506","9p21.2"
"LOC404266","Unmatched","","","",""
"AFARP1","Alias symbol","AKR7A2P1","AKR7A2 pseudogene 1","HGNC:24062","1p13.2"
"DOM3Z","Previous symbol","DXO","decapping exoribonuclease","HGNC:2992","6p21.33"
"C4orf26","Previous symbol","ODAPH","odontogenesis associated phosphoprotein","HGNC:26300","4q21.1"
"LOC644145","Unmatched","","","",""
"C13orf33","Previous symbol","MEDAG","mesenteric estrogen dependent adipogenesis","HGNC:25926","13q12.3"
"GYLTL1B","Previous symbol","LARGE2","LARGE xylosyl- and glucuronyltransferase 2","HGNC:16522","11p11.2"
"LOC641518","Unmatched","","","",""
"CCDC114","Previous symbol","ODAD1","outer dynein arm docking complex subunit 1","HGNC:26560","19q13.33"
"MLL4","Alias symbol","KMT2D","lysine methyltransferase 2D","HGNC:7133","12q13.12"
"MLL4","Alias symbol","KMT2B","lysine methyltransferase 2B","HGNC:15840","19q13.12"
"C21orf57","Previous symbol","YBEY","ybeY metalloendoribonuclease","HGNC:1299","21q22.3"
"SETD8","Previous symbol","KMT5A","lysine methyltransferase 5A","HGNC:29489","12q24.31"
"LOC100190940","Unmatched","","","",""
"CECR1","Previous symbol","ADA2","adenosine deaminase 2","HGNC:1839","22q11.1"
"LOC339568","Unmatched","","","",""
"GPR77","Previous symbol","C5AR2","complement C5a receptor 2","HGNC:4527","19q13.32"
"C11orf59","Previous symbol","LAMTOR1","late endosomal/lysosomal adaptor, MAPK and MTOR activator 1","HGNC:26068","11q13.4"
"ACCN4","Previous symbol","ASIC4","acid sensing ion channel subunit family member 4","HGNC:21263","2q35"
"PTPRV","Previous symbol","PTPRVP","protein tyrosine phosphatase receptor type V, pseudogene","HGNC:13421","1q32.1"
"MGC16121","Alias symbol","MIR503HG","MIR503 host gene","HGNC:28258","Xq26.3"
"MIR642","Previous symbol","MIR642A","microRNA 642a","HGNC:32898","19q13.32"
"C19orf75","Previous symbol","SIGLECL1","SIGLEC family like 1","HGNC:26856","19q13.41"
"HMHA1","Previous symbol","ARHGAP45","Rho GTPase activating protein 45","HGNC:17102","19p13.3"
"ITGB1BP3","Previous symbol","NMRK2","nicotinamide riboside kinase 2","HGNC:17871","19p13.3"
"AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"LOC643486","Unmatched","","","",""
"LOC283070","Unmatched","","","",""
"LOC347376","Unmatched","","","",""
"CCDC144C","Previous symbol","CCDC144CP","coiled-coil domain containing 144C, pseudogene","HGNC:29073","17p11.2"
"C2orf61","Previous symbol","STPG4","sperm-tail PG-rich repeat containing 4","HGNC:26850","2p21"
"C9orf71","Previous symbol","TMEM252","transmembrane protein 252","HGNC:28537","9q21.11"
"FLJ42709","Alias symbol","NR2F1-AS1","NR2F1 antisense RNA 1","HGNC:48622","5q15"
"LOC644172","Unmatched","","","",""
"C19orf29","Previous symbol","CACTIN","cactin, spliceosome C complex subunit","HGNC:29938","19p13.3"
"ARPP-21","Alias symbol","ARPP21","cAMP regulated phosphoprotein 21","HGNC:16968","3p22.3"
"SPANXE","Previous symbol","SPANXD","SPANX family member D","HGNC:14332","Xq27.2"
"NCRNA00200","Previous symbol","LINC00200","long intergenic non-protein coding RNA 200","HGNC:30974","10p15.3"
"LOC401093","Alias symbol","MBNL1-AS1","MBNL1 antisense RNA 1","HGNC:44584","3q25.1"
"LOC399753","Unmatched","","","",""
"C16orf68","Previous symbol","METTL22","methyltransferase 22, Kin17 lysine","HGNC:28368","16p13.2"
"LOC389033","Unmatched","","","",""
"LOC389332","Unmatched","","","",""
"LOC100286844","Unmatched","","","",""
"FAM27L","Previous symbol","FAM27E5","family with sequence similarity E5","HGNC:32410","17p11.2"
"HIST1H2AJ","Previous symbol","H2AC14","H2A clustered histone 14","HGNC:4727","6p22.1"
"HIST1H2BM","Previous symbol","H2BC14","H2B clustered histone 14","HGNC:4750","6p22.1"
"PPAPDC3","Previous symbol","PLPP7","phospholipid phosphatase 7 (inactive)","HGNC:28174","9q34.13"
"CPSF3L","Previous symbol","INTS11","integrator complex subunit 11","HGNC:26052","1p36.33"
"C19orf21","Previous symbol","MISP","mitotic spindle positioning","HGNC:27000","19p13.3"
"C20orf29","Previous symbol","AP5S1","adaptor related protein complex 5 subunit sigma 1","HGNC:15875","20p13"
"C1orf170","Previous symbol","PERM1","PPARGC1 and ESRR induced regulator, muscle 1","HGNC:28208","1p36.33"
"REXO1L1","Previous symbol","REXO1L1P","REXO1 like 1, pseudogene","HGNC:24660","8q21.2"
"C9orf119","Previous symbol","SWI5","SWI5 homologous recombination repair protein","HGNC:31412","9q34.11"
"LOC729609","Unmatched","","","",""
"BCMO1","Previous symbol","BCO1","beta-carotene oxygenase 1","HGNC:13815","16q23.2"
"LOC283999","Unmatched","","","",""
"ZNF397OS","Previous symbol","ZSCAN30","zinc finger and SCAN domain containing 30","HGNC:33517","18q12.2"
"FAM96B","Previous symbol","CIAO2B","cytosolic iron-sulfur assembly component 2B","HGNC:24261","16q22.1"
"LOC148709","Unmatched","","","",""
"C12orf53","Previous symbol","PIANP","PILR alpha associated neural protein","HGNC:25338","12p13.31"
"FAM159A","Previous symbol","SHISAL2A","shisa like 2A","HGNC:28757","1p32.3"
"FAM105B","Previous symbol","OTULIN","OTU deubiquitinase with linear linkage specificity","HGNC:25118","5p15.2"
"LOC646405","Unmatched","","","",""
"LOC348840","Unmatched","","","",""
"FAM26F","Previous symbol","CALHM6","calcium homeostasis modulator family member 6","HGNC:33391","6q22.1"
"FLJ42393","Unmatched","","","",""
"GRAMD3","Previous symbol","GRAMD2B","GRAM domain containing 2B","HGNC:24911","5q23.2"
"CD97","Previous symbol","ADGRE5","adhesion G protein-coupled receptor E5","HGNC:1711","19p13.12"
"FAM57B","Previous symbol","TLCD3B","TLC domain containing 3B","HGNC:25295","16p11.2"
"FAM108C1","Previous symbol","ABHD17C","abhydrolase domain containing 17C, depalmitoylase","HGNC:26925","15q25.1"
"KIAA0146","Previous symbol","SPIDR","scaffold protein involved in DNA repair","HGNC:28971","8q11.21"
"TMEM111","Previous symbol","EMC3","ER membrane protein complex subunit 3","HGNC:23999","3p25.3"
"LOC284233","Unmatched","","","",""
"C10orf41","Previous symbol","ZNF503-AS2","ZNF503 antisense RNA 2","HGNC:23525","10q22.2"
"NCRNA00093","Previous symbol","DNMBP-AS1","DNMBP antisense RNA 1","HGNC:20431","10q24.2"
"LOC285830","Unmatched","","","",""
"C19orf20","Previous symbol","TPGS1","tubulin polyglutamylase complex subunit 1","HGNC:25058","19p13.3"
"PRKCDBP","Previous symbol","CAVIN3","caveolae associated protein 3","HGNC:9400","11p15.4"
"NHP2L1","Previous symbol","SNU13","small nuclear ribonucleoprotein 13","HGNC:7819","22q13.2"
"FAM196B","Previous symbol","INSYN2B","inhibitory synaptic factor family member 2B","HGNC:37271","5q35.1"
"MYCL1","Previous symbol","MYCL","MYCL proto-oncogene, bHLH transcription factor","HGNC:7555","1p34.2"
"LOC401463","Unmatched","","","",""
"LOC340357","Unmatched","","","",""
"MGC34034","Alias symbol","LINC01312","long intergenic non-protein coding RNA 1312","HGNC:28525","6q23.2"
"RP1-177G6.2","Unmatched","","","",""
"C1orf111","Previous symbol","SPATA46","spermatogenesis associated 46","HGNC:27648","1q23.3"
"GPR120","Previous symbol","FFAR4","free fatty acid receptor 4","HGNC:19061","10q23.33"
"ASFMR1","Alias symbol","FMR1-AS1","FMR1 antisense RNA 1","HGNC:39081","Xq27.3"
"FAM109B","Previous symbol","PHETA2","PH domain containing endocytic trafficking adaptor 2","HGNC:27161","22q13.2"
"CNTD2","Previous symbol","CCNP","cyclin P","HGNC:25805","19q13.2"
"C10orf140","Previous symbol","SKIDA1","SKI/DACH domain containing 1","HGNC:32697","10p12.31"
"LOC100130522","Unmatched","","","",""
"LOC389705","Unmatched","","","",""
"FLJ40504","Unmatched","","","",""
"C1orf186","Previous symbol","RHEX","regulator of hemoglobinization and erythroid cell expansion","HGNC:25341","1q32.1"
"TCAM1","Previous symbol","TCAM1P","testicular cell adhesion molecule 1, pseudogene","HGNC:30707","17q23.3"
"KIAA0913","Previous symbol","ZSWIM8","zinc finger SWIM-type containing 8","HGNC:23528","10q22.2"
"C19orf63","Previous symbol","EMC10","ER membrane protein complex subunit 10","HGNC:27609","19q13.33"
"C6orf26","Previous symbol","SAPCD1","suppressor APC domain containing 1","HGNC:13938","6p21.33"
"DPCR1","Previous symbol","MUCL3","mucin like 3","HGNC:21666","6p21.33"
"FAIM3","Previous symbol","FCMR","Fc mu receptor","HGNC:14315","1q32.1"
"MGC27382","Unmatched","","","",""
"WRB","Previous symbol","GET1","guided entry of tail-anchored proteins factor 1","HGNC:12790","21q22.2"
"LOC100188947","Unmatched","","","",""
"C7orf51","Previous symbol","NYAP1","neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1","HGNC:22009","7q22.1"
"LOC442308","Unmatched","","","",""
"MGC16384","Unmatched","","","",""
"AMICA1","Previous symbol","JAML","junction adhesion molecule like","HGNC:19084","11q23.3"
"FLJ37543","Alias symbol","C5orf64","chromosome 5 putative open reading frame 64","HGNC:26744","5q12.1"
"C3orf17","Previous symbol","NEPRO","nucleolus and neural progenitor protein","HGNC:24496","3q13.2"
"RDBP","Previous symbol","NELFE","negative elongation factor complex member E","HGNC:13974","6p21.33"
"LOC402644","Unmatched","","","",""
"SNAR-F","Approved symbol","SNAR-F","small NF90 (ILF3) associated RNA F","HGNC:34326","19q13.33"
"FLJ43390","Unmatched","","","",""
"C3orf63","Previous symbol","TASOR","transcription activation suppressor","HGNC:30314","3p14.3"
"CCDC64","Previous symbol","BICDL1","BICD family like cargo adaptor 1","HGNC:28095","12q24.23"
"C1orf26","Previous symbol","SWT1","SWT1 RNA endoribonuclease homolog","HGNC:16785","1q25.3"
"DGCR14","Previous symbol","ESS2","ess-2 splicing factor homolog","HGNC:16817","22q11.21"
"C17orf101","Previous symbol","OGFOD3","2-oxoglutarate and iron dependent oxygenase domain containing 3","HGNC:26174","17q25.3"
"C17orf96","Previous symbol","EPOP","elongin BC and polycomb repressive complex 2 associated protein","HGNC:34493","17q12"
"CYP2D7P1","Previous symbol","CYP2D7","cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","HGNC:2624","22q13.2"
"FAM176B","Previous symbol","EVA1B","eva-1 homolog B","HGNC:25558","1p34.3"
"C17orf108","Previous symbol","LYRM9","LYR motif containing 9","HGNC:27314","17q11.2"
"C17orf37","Previous symbol","MIEN1","migration and invasion enhancer 1","HGNC:28230","17q12"
"LOC338651","Unmatched","","","",""
"FAM125B","Previous symbol","MVB12B","multivesicular body subunit 12B","HGNC:23368","9q33.3"
"C6orf105","Previous symbol","ADTRP","androgen dependent TFPI regulating protein","HGNC:21214","6p24.1"
"MARCH8","Previous symbol","MARCHF8","membrane associated ring-CH-type finger 8","HGNC:23356","10q11.21-q11.22"
"FAM7A3","Previous symbol","ULK4P3","ULK4 pseudogene 3","HGNC:15777","15q13.2"
"FAM54B","Previous symbol","MTFR1L","mitochondrial fission regulator 1 like","HGNC:28836","1p36.11"
"LOC646471","Unmatched","","","",""
"C10orf72","Previous symbol","VSTM4","V-set and transmembrane domain containing 4","HGNC:26470","10q11.23"
"LPPR4","Alias symbol","PLPPR4","phospholipid phosphatase related 4","HGNC:23496","1p21.3-p21.2"
"ZAK","Alias symbol","MAP3K20","mitogen-activated protein kinase kinase kinase 20","HGNC:17797","2q31.1"
"LOC285359","Unmatched","","","",""
"KIAA0494","Previous symbol","EFCAB14","EF-hand calcium binding domain 14","HGNC:29051","1p33"
"DHX40P","Previous symbol","DHX40P1","DEAH-box helicase 40 pseudogene 1","HGNC:20687","17q23.1"
"GPR113","Previous symbol","ADGRF3","adhesion G protein-coupled receptor F3","HGNC:18989","2p23.3"
"LOC100131496","Unmatched","","","",""
"TTC3L","Previous symbol","TTC3P1","tetratricopeptide repeat domain 3 pseudogene 1","HGNC:23318","Xq13.3"
"SARS","Alias symbol","SARS2","seryl-tRNA synthetase 2, mitochondrial","HGNC:17697","19q13.2"
"SARS","Previous symbol","SARS1","seryl-tRNA synthetase 1","HGNC:10537","1p13.3"
"METTL11B","Previous symbol","NTMT2","N-terminal Xaa-Pro-Lys N-methyltransferase 2","HGNC:31932","1q24.2"
"FAM108A1","Previous symbol","ABHD17A","abhydrolase domain containing 17A, depalmitoylase","HGNC:28756","19p13.3"
"LOC151658","Unmatched","","","",""
"MGC12916","Unmatched","","","",""
"CCDC162","Previous symbol","CCDC162P","coiled-coil domain containing 162, pseudogene","HGNC:21565","6q21"
"FLJ25758","Unmatched","","","",""
"LUZP6","Approved symbol","LUZP6","leucine zipper protein 6","HGNC:33955","7q33"
"FLJ46361","Unmatched","","","",""
"LOC285954","Unmatched","","","",""
"AHSA2","Previous symbol","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene","HGNC:20437","2p15"
"FTSJ2","Previous symbol","MRM2","mitochondrial rRNA methyltransferase 2","HGNC:16352","7p22.3"
"WDR65","Previous symbol","CFAP57","cilia and flagella associated protein 57","HGNC:26485","1p34.2"
"C1orf64","Previous symbol","SRARP","steroid receptor associated and regulated protein","HGNC:28339","1p36.13"
"AK3L1","Previous symbol","AK4","adenylate kinase 4","HGNC:363","1p31.3"
"AK3L1","Previous symbol","AK3","adenylate kinase 3","HGNC:17376","9p24.1"
"PPP1R2P9","Previous symbol","PPP1R2C","PPP1R2C family member C","HGNC:16324","Xp11.3"
"C7orf10","Previous symbol","SUGCT","succinyl-CoA:glutarate-CoA transferase","HGNC:16001","7p14.1"
"C9orf122","Previous symbol","FAM201A","family with sequence similarity 201 member A","HGNC:27239","9p13.1"
"C3orf16","Previous symbol","ANKUB1","ankyrin repeat and ubiquitin domain containing 1","HGNC:29642","3q25.1"
"LOC728643","Unmatched","","","",""
"TRIM53","Previous symbol","TRIM53AP","tripartite motif containing 53A, pseudogene","HGNC:19025","11q14.3"
"GPR1","Previous symbol","CMKLR2","chemerin chemokine-like receptor 2","HGNC:4463","2q33.3"
"FAM154A","Previous symbol","SAXO1","stabilizer of axonemal microtubules 1","HGNC:28566","9p22.1"
"C9orf110","Previous symbol","FAM225B","family with sequence similarity 225 member B","HGNC:21865","9q32"
"C9orf109","Previous symbol","FAM225A","family with sequence similarity 225 member A","HGNC:27855","9q32"
"LOC390594","Unmatched","","","",""
"BTBD12","Previous symbol","SLX4","SLX4 structure-specific endonuclease subunit","HGNC:23845","16p13.3"
"MIR1295","Previous symbol","MIR1295A","microRNA 1295a","HGNC:35288","1q24.3"
"LOC115110","Unmatched","","","",""
"TMEM206","Previous symbol","PACC1","proton activated chloride channel 1","HGNC:25593","1q32.3"
"C17orf74","Previous symbol","SPEM2","SPEM family member 2","HGNC:27315","17p13.1"
"FAM109A","Previous symbol","PHETA1","PH domain containing endocytic trafficking adaptor 1","HGNC:26509","12q24.12"
"FLJ16779","Unmatched","","","",""
"AKAP2","Approved symbol","AKAP2","A-kinase anchoring protein 2","HGNC:372","9q31.3"
"LOC441204","Unmatched","","","",""
"C9orf116","Previous symbol","PIERCE1","piercer of microtubule wall 1","HGNC:28435","9q34.3"
"C9orf96","Previous symbol","STKLD1","serine/threonine kinase like domain containing 1","HGNC:28669","9q34.2"
"LOC729176","Unmatched","","","",""
"RNF216L","Previous symbol","RNF216P1","ring finger protein 216 pseudogene 1","HGNC:33610","7p22.1"
"TCEB1","Previous symbol","ELOC","elongin C","HGNC:11617","8q21.11"
"FAM129A","Previous symbol","NIBAN1","niban apoptosis regulator 1","HGNC:16784","1q25.3"
"GLT25D2","Previous symbol","COLGALT2","collagen beta(1-O)galactosyltransferase 2","HGNC:16790","1q25.3"
"LOC100133612","Unmatched","","","",""
"LOC100287834","Unmatched","","","",""
"LOC100287704","Unmatched","","","",""
"TARP","Unmatched","","","",""
"SMAD5OS","Previous symbol","SMAD5-AS1","SMAD5 antisense RNA 1","HGNC:30586","5q31.1"
"CXCR7","Previous symbol","ACKR3","atypical chemokine receptor 3","HGNC:23692","2q37.3"
"LOC284232","Unmatched","","","",""
"GLT25D1","Previous symbol","COLGALT1","collagen beta(1-O)galactosyltransferase 1","HGNC:26182","19p13.11"
"CXorf56","Previous symbol","STEEP1","STING1 ER exit protein 1","HGNC:26239","Xq24"
"LOC286016","Unmatched","","","",""
"LOC100288797","Unmatched","","","",""
"SNORA42","Previous symbol","SNORA80E","small nucleolar RNA, H/ACA box 80E","HGNC:32635","1q22"
"KIAA0907","Previous symbol","KHDC4","KH domain containing 4, pre-mRNA splicing factor","HGNC:29145","1q22"
"C17orf62","Previous symbol","CYBC1","cytochrome b-245 chaperone 1","HGNC:28672","17q25.3"
"C14orf48","Previous symbol","CCDC197","coiled-coil domain containing 197","HGNC:19860","14q32.12"
"LOC645676","Unmatched","","","",""
"MOSC2","Previous symbol","MTARC2","mitochondrial amidoxime reducing component 2","HGNC:26064","1q41"
"C19orf77","Previous symbol","SMIM24","small integral membrane protein 24","HGNC:37244","19p13.3"
"ADSS","Previous symbol","ADSS2","adenylosuccinate synthase 2","HGNC:292","1q44"
"NCRNA00182","Previous symbol","FTX","FTX transcript, XIST regulator","HGNC:37190","Xq13.2"
"MUPCDH","Previous symbol","CDHR5","cadherin related family member 5","HGNC:7521","11p15.5"
"PRSS45","Previous symbol","PRSS45P","serine protease 45, pseudogene","HGNC:30717","3p21.31"
"LOC285847","Unmatched","","","",""
"PRIC285","Alias symbol","HELZ2","helicase with zinc finger 2","HGNC:30021","20q13.33"
"NCRNA00157","Previous symbol","CHODL-AS1","CHODL antisense RNA 1","HGNC:1279","21q21.1"
"GPR144","Previous symbol","ADGRD2","adhesion G protein-coupled receptor D2","HGNC:18651","9q33.3"
"C14orf115","Previous symbol","VRTN","vertebrae development associated","HGNC:20223","14q24.3"
